gene,default_auc,default_f1,default_recall,default_fpr,default_spec,optimal_c,optimal_auc,optimal_f1,optimal_recall,optimal_fpr,optimal_spec,n_tot,n_benign,n_malign
LDB3,0.8190476190476189,0.16666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.02900000000000001,0.8243107769423558,0.23529411764705882,0.6666666666666666,0.33333333333333337,0.6666666666666666,668,665,3
ACO2,0.9412280701754385,0.9,0.9,0.09999999999999998,0.9,0.02,0.9412280701754385,0.9,0.9,0.09999999999999998,0.9,67,57,10
CIITA,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,58,55,3
ITGB3,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,31,29,2
ACTA1,0.9500000000000001,0.9642857142857143,1.0,0.0,1.0,0.02,0.9500000000000001,0.9642857142857143,1.0,0.0,1.0,94,40,54
RMND1,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,27,17,10
ITGB2,0.9420289855072465,0.7142857142857143,1.0,0.0,1.0,0.022000000000000002,0.963768115942029,0.8,1.0,0.0,1.0,79,69,10
TSPAN12,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,28,23,5
SNAP29,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,37,33,4
ACP5,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,14,10,4
RLBP1,0.9874999999999999,0.9333333333333333,1.0,0.0,1.0,0.02,0.9874999999999999,0.9333333333333333,0.8571428571428571,0.1428571428571429,0.8571428571428571,47,40,7
CDC73,0.9500000000000001,0.8163265306122449,1.0,0.0,1.0,0.02,0.9500000000000001,0.8163265306122449,1.0,0.0,1.0,110,90,20
PGM3,0.8666666666666667,0.7499999999999999,1.0,0.0,1.0,0.024000000000000004,0.9,0.8,1.0,0.0,1.0,21,15,6
PGM1,0.9166666666666667,0.4444444444444445,1.0,0.0,1.0,0.02,0.9166666666666667,0.4444444444444445,1.0,0.0,1.0,32,30,2
RMRP,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,17,9,8
SPTB,0.9789915966386555,0.7058823529411764,1.0,0.0,1.0,0.02,0.9789915966386555,0.7058823529411764,1.0,0.0,1.0,250,238,12
ADGRV1,0.9586384117150099,0.9090909090909091,0.9433962264150944,0.05660377358490565,0.9433962264150944,0.02,0.9586384117150099,0.9090909090909091,0.9433962264150944,0.05660377358490565,0.9433962264150944,321,268,53
LRTOMT,0.875,0.8571428571428571,0.75,0.25,0.75,0.02,0.875,0.8571428571428571,0.75,0.25,0.75,17,13,4
ITGA3,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,44,42,2
ITGA8,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,6,5,1
IMPAD1,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,10,8,2
HNRNPU,0.8463709677419354,0.8333333333333334,0.967741935483871,0.032258064516129004,0.967741935483871,0.021,0.8588709677419355,0.8450704225352113,0.967741935483871,0.032258064516129004,0.967741935483871,71,40,31
ATRX,0.9305555555555556,0.782608695652174,1.0,0.0,1.0,0.028000000000000008,0.9555555555555555,0.8490566037735848,1.0,0.0,1.0,225,180,45
FOXRED1,0.9615384615384616,0.9600000000000001,0.9230769230769231,0.07692307692307687,0.9230769230769231,0.02,0.9615384615384616,0.9600000000000001,0.9230769230769231,0.07692307692307687,0.9230769230769231,38,25,13
PREPL,0.9375,0.8333333333333333,1.0,0.0,1.0,0.02,0.9375,0.8333333333333333,1.0,0.0,1.0,21,16,5
ITGA7,0.9831460674157304,0.88,1.0,0.0,1.0,0.02,0.9831460674157304,0.88,1.0,0.0,1.0,100,89,11
CDC42,0.8333333333333334,0.8148148148148148,1.0,0.0,1.0,0.02,0.8333333333333334,0.8148148148148148,1.0,0.0,1.0,26,15,11
HERC1,0.9464285714285715,0.7272727272727273,1.0,0.0,1.0,0.02,0.9464285714285715,0.7272727272727273,1.0,0.0,1.0,64,56,8
CDC45,0.9,0.888888888888889,0.8,0.19999999999999996,0.8,0.02,0.9,0.888888888888889,0.8,0.19999999999999996,0.8,9,4,5
