,Gene,AUC,FPR,Precision,Recall/TPR,F-score,N_benign,N_malign,m_cat,n_snvs
413,FOXRED1,0.9615384615384616,0.07692307692307687,1.0,0.9230769230769231,0.9600000000000001,16,13,1,29
414,MLC1,0.9666666666666667,0.0,0.9444444444444444,1.0,0.9714285714285714,15,17,1,32
415,LAMC2,0.9523809523809523,0.0,0.9230769230769231,1.0,0.9600000000000001,21,24,1,45
416,TLK2,0.75,0.0,0.375,1.0,0.5454545454545454,10,3,1,13
417,KCNA2,0.9,0.0,0.8571428571428571,1.0,0.923076923076923,10,12,1,22
418,KCNB1,0.9537037037037037,0.0,0.7916666666666666,1.0,0.8837209302325582,54,19,1,73
419,ABCB11,0.949074074074074,0.08333333333333337,0.9565217391304348,0.9166666666666666,0.9361702127659574,54,24,1,78
420,PEX12,1.0,0.0,1.0,1.0,1.0,4,6,1,10
421,SNX14,1.0,0.0,1.0,1.0,1.0,6,8,1,14
422,MMACHC,1.0,0.0,1.0,1.0,1.0,14,15,1,29
423,WDR62,0.9017543859649123,0.1333333333333333,0.6842105263157895,0.8666666666666667,0.7647058823529413,95,15,1,110
424,TPP1,0.9803921568627452,0.0,0.9487179487179487,1.0,0.9736842105263158,51,37,1,88
425,PLP1,0.8631221719457014,0.038461538461538436,0.8620689655172413,0.9615384615384616,0.9090909090909091,17,26,1,43
426,MFN2,0.9242424242424243,0.09090909090909094,0.9090909090909091,0.9090909090909091,0.9090909090909091,66,44,1,110
427,PRKAR1A,0.9634146341463415,0.0,0.875,1.0,0.9333333333333333,41,21,1,62
428,KRAS,0.9491525423728814,0.0,0.8666666666666667,1.0,0.9285714285714286,59,39,1,98
429,CYP11B1,0.9545454545454545,0.0,0.7368421052631579,1.0,0.8484848484848484,55,14,1,69
430,CTC1,0.9064625850340136,0.16666666666666663,0.8333333333333334,0.8333333333333334,0.8333333333333334,49,6,1,55
431,RPGR,0.9043803418803419,0.038461538461538436,0.6944444444444444,0.9615384615384616,0.8064516129032258,72,26,1,98
432,ADA,0.8529411764705882,0.0,0.782608695652174,1.0,0.878048780487805,17,18,1,35
433,CASR,0.9603960396039605,0.0,0.8769230769230769,1.0,0.9344262295081968,101,57,1,158
434,BMPR2,0.9583333333333333,0.0,0.8108108108108109,1.0,0.8955223880597014,84,30,1,114
435,DNAH5,0.9745098039215686,0.0,0.8311688311688312,1.0,0.9078014184397163,255,64,1,319
436,TRMU,1.0,0.0,1.0,1.0,1.0,21,13,1,34
437,ECHS1,1.0,0.0,1.0,1.0,1.0,10,15,1,25
438,ADAR,0.9651162790697674,0.0,0.7272727272727273,1.0,0.8421052631578948,43,8,1,51
439,ACOX1,1.0,0.0,1.0,1.0,1.0,10,4,1,14
440,DBT,0.9782608695652174,0.0,0.9166666666666666,1.0,0.9565217391304348,46,22,1,68
441,AAAS,0.9642857142857143,0.0,0.9230769230769231,1.0,0.9600000000000001,14,12,1,26
442,CTSF,0.875,0.0,0.6,1.0,0.7499999999999999,16,6,1,22
443,LOXHD1,0.9859813084112149,0.0,0.8235294117647058,1.0,0.9032258064516129,107,14,1,121
444,FGD4,0.9923076923076923,0.0,0.8571428571428571,1.0,0.923076923076923,65,6,1,71
445,MTFMT,0.8973684210526316,0.09999999999999998,0.8181818181818182,0.9,0.8571428571428572,19,10,1,29
446,ADGRG1,,,,,,0,17,0,17
447,FHL1,0.9680851063829787,0.0,0.625,1.0,0.7692307692307693,47,5,1,52
448,ADAM10,,,,,,12,0,0,12
449,RMND1,1.0,0.0,1.0,1.0,1.0,14,5,1,19
450,FBXL4,0.9897959183673469,0.020408163265306145,1.0,0.9795918367346939,0.9896907216494846,5,49,1,54
451,CEP78,1.0,0.0,1.0,1.0,1.0,11,1,1,12
452,NDUFV1,1.0,0.0,1.0,1.0,1.0,10,14,1,24
453,TCIRG1,0.9545454545454545,0.0,0.8888888888888888,1.0,0.9411764705882353,11,8,1,19
454,CHM,0.9107142857142857,0.0,0.8387096774193549,1.0,0.9122807017543859,28,26,1,54
455,CLRN1,0.9375,0.125,1.0,0.875,0.9333333333333333,13,8,1,21
456,LYRM7,1.0,0.0,1.0,1.0,1.0,3,1,1,4
457,CNGB3,1.0,0.0,1.0,1.0,1.0,45,33,1,78
458,POGZ,0.798951048951049,0.038461538461538436,0.8620689655172413,0.9615384615384616,0.9090909090909091,11,26,1,37
459,EBF3,0.6666666666666667,0.0,0.7037037037037037,1.0,0.8260869565217391,12,19,1,31
460,GNAS,0.9852941176470588,0.0,0.8518518518518519,1.0,0.92,136,23,1,159
461,GATA6,0.9074074074074074,0.0,0.5454545454545454,1.0,0.7058823529411764,27,6,1,33
462,SERPINA1,0.9361702127659575,0.0,0.7272727272727273,1.0,0.8421052631578948,47,16,1,63
463,MTO1,0.9705882352941176,0.0,0.9285714285714286,1.0,0.962962962962963,17,13,1,30
464,LRPPRC,0.9878048780487805,0.0,0.8823529411764706,1.0,0.9375,82,15,1,97
465,NRXN1,0.9880239520958084,0.0,0.6666666666666666,1.0,0.8,167,8,1,175
466,ERCC6,0.9835164835164836,0.0,0.9142857142857143,1.0,0.955223880597015,91,32,1,123
467,EXOSC3,1.0,0.0,1.0,1.0,1.0,6,7,1,13
468,PRRT2,0.9166666666666667,0.0,0.7692307692307693,1.0,0.8695652173913044,36,20,1,56
469,AHDC1,0.9249999999999999,0.0,0.9,1.0,0.9473684210526316,20,27,1,47
470,APOB,0.976842105263158,0.0,0.5416666666666666,1.0,0.7027027027027027,475,26,1,501
471,STAMBP,1.0,0.0,1.0,1.0,1.0,10,11,1,21
472,RARB,1.0,0.0,1.0,1.0,1.0,4,4,1,8
473,TIMM50,1.0,0.0,1.0,1.0,1.0,1,3,1,4
474,BAG3,0.9642857142857143,0.0,0.7142857142857143,1.0,0.8333333333333333,112,20,1,132
475,LARP7,0.8636363636363636,0.0,0.75,1.0,0.8571428571428571,11,9,1,20
476,SMAD3,0.9419642857142857,0.0,0.6578947368421053,1.0,0.7936507936507937,112,25,1,137
477,AUTS2,0.9375,0.0,0.6470588235294118,1.0,0.7857142857142858,48,11,1,59
478,SOS1,0.9371727748691099,0.0,0.5471698113207547,1.0,0.7073170731707317,191,29,1,220
479,DNAH11,0.9767025089605735,0.0,0.7636363636363637,1.0,0.865979381443299,279,42,1,321
480,SERPING1,0.9666666666666667,0.0,0.9166666666666666,1.0,0.9565217391304348,15,11,1,26
481,CCDC39,0.9895833333333333,0.0,0.9375,1.0,0.967741935483871,48,15,1,63
482,RP1,0.9422764227642275,0.06666666666666665,0.875,0.9333333333333333,0.9032258064516129,41,15,1,56
